item_id,domain,group,standards,item_information,prompt,option_a,option_b,option_c,correct,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
S05ESS1.2M5,NA,5,S05ESS1.2,"M - Here are three pictures. (Point to student materials.) Which shows the correct direction of the tree's shadow: A, B, or C?",Which shows the correct direction of the tree's shadow?,A,B,C,c,NA,Sun30.ai,Sun31.ai,Sun32.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1H14,NA,5,S05ESS2.1,"H - Here are three Earth features. (Point to answer choices.) Which shows lava erupting from a volcano: A, B, or C?",Which shows lava erupting from a volcano?,A,B,C,a,NA,Volcano1.ai,Desert1.ai,Beach7.ai,Plants_Outdoors,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS2.1H14_intro.mp3,Science_G5_S05ESS2.1H14_stem.mp3,Science_G5_S05ESS2.1H14_a.mp3,Science_G5_S05ESS2.1H14_b.mp3,Science_G5_S05ESS2.1H14_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.1371
S05ESS2.1H15,NA,5,S05ESS2.1,"H - Here are three pictures. (Point to answer choices.) Where in the atmosphere does rain come from: rocks, clouds, or streams?",Where in the atmosphere does rain come from?,rocks,clouds,streams,b,NA,Rock1.ai,Cloud2.ai,Streams.ai,Plants_Outdoors/Weather,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS2.1H15_intro.mp3,Science_G5_S05ESS2.1H15_stem.mp3,Science_G5_S05ESS2.1H15_a.mp3,Science_G5_S05ESS2.1H15_b.mp3,Science_G5_S05ESS2.1H15_c.mp3,FT,NA,OI,OI,NA,0.39,NA,0.36,0.36
S05ESS2.1H16,ESS - FT,5,S05ESS2.1,"H - Here are three places. (Point to answer choices.) Where in the atmosphere does snow come from: rocks, lakes, or clouds?",Where in the atmosphere does snow come from?,rocks,lakes,clouds,c,NA,Rock1.ai,Lake3.ai,Cloud2.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.16,NA,NA
S05ESS2.1H23,NA,5,S05ESS2.1,"H - Water covers most of the Earth. (Point to Earth in prompt.) How does water get from the atmosphere to Earth: rain, river, or pond?",Water covers most of the Earth. How does water gets from the atmosphere to Earth?,rain,river,pond,a,Earth2.ai,Rain15.ai,River9.ai,Pond2.ai,Astronomy/Weather/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.44,NA
S05ESS2.1H24,NA,5,S05ESS2.1,"H - This is a canyon. (Point to canyon in prompt.) Which makes canyons deeper: wind, river, or forest?",Which makes canyons deeper?,wind,river,forest,b,Canyon2.ai,Wind2.ai,River9.ai,Forest.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S05ESS2.1H30,ESS - OI,5,S05ESS2.1,"H - Here are three objects. (Point to answer choices.) Which is made of water: minerals, mountains, or clouds?",Which is made of water?,mineral,mountain,clouds,c,NA,Mineral.ai,Mountains_Sun.ai,Cloud2.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.09,1.09,NA,NA
S05ESS2.1H31,NA,5,S05ESS2.1,"H - Here are three pictures. (Point to student materials.) Which gives water to animals to survive: computer, river, or mountain?",Which gives water to animals to survive?,laptop,river,mountain,b,NA,Laptop3.ai,River9.ai,Mountain17.ai,Household Objects/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1H32,NA,5,S05ESS2.1,"H - Here is a river.  (Point to prompt.) What is it called when a river wears down rocks: erosion, electricity, or wind?",What is it called when a river wears down rocks?,erosion,electricity,wind,a,River3.ai,NA,NA,NA,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1H7,NA,5,S05ESS2.1,"H - Here are three pictures.  (Point to answer choices.) Which part of the Earth's atmosphere gives rain to forests: clouds, Moon, or birds?",Which part of the Earth's atmosphere gives rain to forests?,clouds,Moon,birds,a,NA,Cloud13.ai,Tree_Moon_Stars.ai,Trees_Bird.ai,Weather/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.62,NA,NA,NA
S05ESS2.1H8,NA,5,S05ESS2.1,"H - Here are three pictures. (Point to student materials.) What Earth feature moves water into oceans: trees, rocks, or rivers?",What Earth feature moves water into oceans?,trees,rocks,rivers,c,NA,Tree6.ai,Rock1.ai,River10.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.19,NA,NA,NA
S05ESS2.1L1,NA,5,S05ESS2.1,"L - Here are three pictures. (Point to answer choices.) Which is a living plant: spider, rock, or tree?",Which is a living plant?,spider,rock,tree,c,NA,Spider1.ai,Rock1.ai,Tree6.ai,Animals/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.27,NA,NA,NA
S05ESS2.1L10,NA,5,S05ESS2.1,"L - Here is a tree. (Point to prompt.) Where would you find lots of trees growing: forest, desert, or ocean?",Where would you find lots of trees growing?,forest,desert,ocean,a,Tree6.ai,Forest2.ai,Desert1.ai,Beach7.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1L17,NA,5,S05ESS2.1,"L - Here are three things. (Point to answer choices.) Which is a living animal: snake, pine tree, or rock?",Which is a living animal?,snake,pine tree,rock,a,NA,Snake3.ai,Tree6.ai,Rock1.ai,Animals/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.58,NA,NA,NA
S05ESS2.1L18,NA,5,S05ESS2.1,"L - Here are three living organisms. (Point to answer choices.) Which is a plant: snake, tree, or bird?",Which is a plant?,snake,tree,bird,b,NA,Snake3.ai,Tree6.ai,Bird1.ai,Animals/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.45,NA,NA,NA
S05ESS2.1L19,NA,5,S05ESS2.1,"L - Here are three things. (Point to answer choices.) Which is non-living: cow, fish, or rock?",Which is non-living?,cow,fish,rock,c,NA,Cow12.ai,Fish17.ai,Rock14.ai,Animals/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1L2,NA,5,S05ESS2.1,"L - Here are three pictures. (Point to student materials.) Which is alive: sand, lizard, or shoe?",Which is alive?,sand,lizard,shoe,b,NA,Sand_Pile3.ai,Lizard2.ai,Shoe3.ai,Plants_Outdoors/Clothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.7,NA,NA,NA
S05ESS2.1L25,NA,5,S05ESS2.1,"L - Here are three living things. (Point to answer choices.) Which is a living plant: bird, turtle, or flower?",Which is a living plant?,bird,turtle,flower,c,NA,Bird1.ai,Turtle1.ai,Flower2.ai,Animals/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.67,NA,NA,NA
S05ESS2.1L26,NA,5,S05ESS2.1,"L - Here are three living things. (Point to answer choices.) Which is an animal: horse, mushroom, or bush?",Which is an animal?,horse,mushroom,bush,a,NA,Horse16.ai,Mushroom3.ai,Bush9.ai,Animals/Food/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1L3,NA,5,S05ESS2.1,"L - Here are three pictures. (Point to student materials.) Which is a living animal: tree, snake, or grass?",Which is a living animal?,tree,snake,grass,b,NA,Tree28.ai,Snake5.ai,Grass5.ai,Plants_Outdoors/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1L9,NA,5,S05ESS2.1,"L - Here is a whale. (Point to prompt.) Where do whales live: mountain, desert, or ocean?",Where do whales live?,mountain,desert,ocean,c,Whale2.ai,Mountain18.ai,Desert8.ai,Ocean.ai,Animals/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M11,NA,5,S05ESS2.1,"M - Here are three pictures. (Point to answer choices.) Which is a pond environment: A, B, or C?",Which is a pond environment?,A,B,C,b,NA,Mountain19.ai,Lake15.ai,Forest2.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M12,NA,5,S05ESS2.1,"M - Here are three Earth features. (Point to answer choices.) Which is an erupting volcano: A, B, or C?",Which is an erupting volcano?,A,B,C,a,NA,Volcano1.ai,Lake16.ai,Forest3.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.7,NA,NA,NA
S05ESS2.1M13,NA,5,S05ESS2.1,"M - Here are three pictures. (Point to answer choices.) Which shows clouds in the atmosphere: A, B, or C?",Which shows clouds in the atmosphere?,A,B,C,c,NA,Mountain2.ai,Lake16.ai,Cloud_Sun1.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.4,NA,NA,NA
S05ESS2.1M20,NA,5,S05ESS2.1,"M - This is a rock. (Point to rock in prompt.) Which is made of rock: forest, pond, or mountain?",Which is made of rock?,forest,pond,mountain,c,NA,Forest3.ai,Lake16.ai,Mountain3.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.27,NA,NA,NA
S05ESS2.1M21,NA,5,S05ESS2.1,"M - This is a tree. (Point to tree in prompt.) Which is made of trees: forest, pond, or mountain?",Which is made of trees?,forest,pond,mountain,a,Tree6.ai,Forest.ai,Pond2.ai,Mountain17.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M22,NA,5,S05ESS2.1,"M - This stream is made of water. (Point to steam in prompt.) Which is also made of water: forest, cloud, or mountain?",This stream is made of water. Which is also made of water?,forest,cloud,mountain,b,River11.ai,Forest.ai,Cloud12.ai,Mountain17.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M27,NA,5,S05ESS2.1,"M - Here are three pictures. (Point to answer choices.) Which is made of rocks from the Earth: ocean, mountain, or river?",Which is made of rocks from the Earth?,ocean,mountain,vegetables,b,NA,Ocean.ai,Mountain18.ai,Vegetables2.ai,Plants_Outdoors/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M28,NA,5,S05ESS2.1,"M - Here are some clouds. (Point to prompt.) Which does clouds make: sunlight, rain, or trees?",Which does clouds make?,sunlight,rain,trees,b,Cloud3.ai,Sun123.ai,Rain16.ai,Tree29.ai,Weather/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M29,NA,5,S05ESS2.1,"M - Here are three pictures. (Point to answer choices.) Which is made of rock: canyon, lake, or fog?",Which is made of rock?,canyon,lake,fog,a,NA,Canyon.ai,Lake17.ai,Fog3.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M4,NA,5,S05ESS2.1,"M - Here is a volcano. (Point to student materials.) Which does a volcano make: pond, rivers, or mountains?",Which does a volcano make?,pond,river,mountain,c,Volcano1.ai,Pond3.ai,River9.ai,Mountain17.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1M5,ESS - OI,5,S05ESS2.1,"M - Here are three pictures. (Point to student materials.) Which is part of the Earth's atmosphere: river, clouds, or flower?",Which is part of the Earth's atmosphere?,river,clouds,flower,b,NA,River10.ai,Cloud1.ai,Flower4.ai,Plants_Outdoors/Weather,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS2.1M5_intro.mp3,Science_G5_S05ESS2.1M5_stem.mp3,Science_G5_S05ESS2.1M5_a.mp3,Science_G5_S05ESS2.1M5_b.mp3,Science_G5_S05ESS2.1M5_c.mp3,FT,OI,OI,OI,NA,2.07,2.07,2.07,2.07
S05ESS2.1M6,NA,5,S05ESS2.1,"M - Here are three pictures. (Point to student materials.) Which is made of rocks: river, forest, or mountain?",Which is made of rocks?,river,forest,mountain,c,NA,River9.ai,Forest.ai,Mountain17.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.1MSAMPLE,ESS - OI,5,S05ESS2.1,"M - Here are three pictures. (Point to student materials.) Which shows an Earth feature that is made of water: forest, pond, or mountain?",Which shows an Earth feature that is made of water?,forest,pond,mountain,b,NA,Forest3.ai,Lake4.ai,Mountain1.ai,Plants_Outdoors,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS2.1Msample_intro.mp3,Science_G5_S05ESS2.1Msample_stem.mp3,Science_G5_S05ESS2.1Msample_a.mp3,Science_G5_S05ESS2.1Msample_b.mp3,Science_G5_S05ESS2.1Msample_c.mp3,FT,OI,OI,OI,NA,NA,NA,NA,NA
S05ESS2.2H15,NA,5,S05ESS2.2,"H - Here are three bodies of water. (Point to answer choices.) Which is largest: pond, lake, or ocean?",Which is largest?,pond,lake,ocean,c,NA,Lake5.ai,Lake6.ai,Ocean2.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.03,NA,NA,NA
S05ESS2.2H16,NA,5,S05ESS2.2,"H - Here are three bodies of water. (Point to answer choices.) Which is smallest: pond, lake, or ocean?",Which is smallest?,pond,lake,ocean,a,NA,Lake18.ai,Lake19.ai,Ocean3.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2H22,NA,5,S05ESS2.2,"H -  Here are three things. (Point to answer choices.) Which has the most water: ocean, cloud, or lake?",Which has the most water?,ocean,cloud,lake,a,NA,Beach7.ai,Cloud2.ai,Lake15.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2H23,NA,5,S05ESS2.2,"H - Here is a pie chart. (Point to the chart.) Which type of water is there most of on Earth: salt, fresh, or ice?",Which type of water is there most of on Earth?,salt,fresh,ice,a,PieChart_Ice_Fresh_Salt.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2H24,NA,5,S05ESS2.2,"H - Here is a pie chart. (Point to the chart) Where is most fresh water on Earth: polar ice caps, underground, or in rivers and lakes?",Where is most fresh water on Earth?,polar ice caps,undergound,rivers and lakes,a,PieChart_Underground_RiversLakes_IceCaps.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2H31,NA,5,S05ESS2.2,"H - Here are three Earth features. (Point to the answer choices.)   Which feature holds the most water: ocean, pond, or lake?",Which feature holds the most water?,ocean,pond,lake,a,NA,Beach7.ai,Lake15.ai,Lake20.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2H32,NA,5,S05ESS2.2,"H - Here is a graph of water on Earth. (Point to prompt.) Which holds most of Earth's water: rivers and lakes, polar ice, or oceans?",Here is a graph of water on Earth. Which holds most of Earth's water?,rivers and lakes,polar ice,oceans,c,PieChart_RiversLakes_Oceans_PolarIce.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2H6,NA,5,S05ESS2.2,"H -  Here are three pictures. (Point to answer choices.) Which holds most of the water on the Earth: oceans, streams, or ponds?",Which holds most of the water on the Earth?,oceans,streams,ponds,a,NA,Beach5.ai,River4.ai,Lake16.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.13,NA,NA,NA
S05ESS2.2H7,NA,5,S05ESS2.2,"H - Here is a bar graph. (Point to graph.) Where is most fresh water on Earth: ice, underground, or lakes?",Where is most fresh water on Earth?,ice,underground,lakes,a,BarGraph_FreshWater.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2H8,NA,5,S05ESS2.2,"H - Here is a bar graph. (Point to graph.) Which is the smallest ocean: Indian, Atlantic, or Pacific?",Which is the smallest ocean?,Indian,Atlantic,Pacific,a,BarGraph_WaterInOceans.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2HSAMPLE,NA,5,S05ESS2.2,"H - Here is a bar graph. (Point to graph.) Which ocean holds the most water on Earth: Indian, Atlantic, or Pacific?",Which ocean holds the most water on Earth?,Indian,Atlantic,Pacific,c,BarGraph_Oceans.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2L1,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: bucket, cellphone, or lake?",Which is made of water?,bucket,cellphone,lake,c,NA,Bucket2.ai,Phone.ai,Lake17.ai,Household Objects/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2L10,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: house, lake, or bus?",Which is made of water?,house,lake,bus,b,NA,House1.ai,Lake7.2.ai,Bus6.ai,Plants_Outdoors/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.39,NA,NA,NA
S05ESS2.2L11,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: shoes, boat, or river?",Which is made of water?,shoes,boat,river,c,NA,Shoe7.ai,Boat8.ai,River12.ai,Clothing/Transportation/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2L17,NA,5,S05ESS2.2,"L - Here are three things. (Point to answer choices.) Which is made of water: river, book, or car?",Which is made of water?,river,book,car,a,NA,River10.ai,Book1.ai,Car1.ai,Plants_Outdoors/Classroom/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.68,NA,NA,NA
S05ESS2.2L18,NA,5,S05ESS2.2,"L -  Here are three things. (Point to answer choices.) Which is made of water: book, rain, or boat?",Which is made of water?,book,rain,boat,b,NA,Book1.ai,Rain3.ai,Boat8.ai,Classroom/Weather/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2L2,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: ball, river, or brick?",Which is made of water?,ball,river,brick,b,NA,Basketball10.ai,River10.ai,Brick4.ai,Sports/Plants_Outdoors/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.27,NA,NA,NA
S05ESS2.2L25,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: bus, ocean, or cup?",Which is made of water?,bus,ocean,cup,b,NA,Bus6.ai,Beach7.ai,Cup1.ai,Transportation/Plants_Outdoors/Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2L26,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: spoon, microwave, or stream?",Which is made of water?,spoon,microwave,stream,c,NA,Spoon3.ai,Microwave1.ai,River11.ai,Household Objects/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2L27,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: fish, lake, or notebook?",Which is made of water?,fish,lake,notebook,b,NA,Fish1.ai,Lake3.ai,Notebook1.ai,Animals/Plants_Outdoors/Classroom,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2L9,NA,5,S05ESS2.2,"L - Here are three pictures. (Point to answer choices.) Which is made of water: ocean, car, or chair?",Which is made of water?,ocean,car,chair,a,NA,Beach1.ai,Car1.ai,Chair2.ai,Plants_Outdoors/Transportation/Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.7,NA,NA,NA
S05ESS2.2M12,NA,5,S05ESS2.2,"M - Here are three pictures. (Point to answer choices.) Which is made of water: desert, ocean, or rocks?",Which is made of water?,desert,ocean,rocks,b,NA,Desert1.ai,Beach1.ai,Rock2.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M13,NA,5,S05ESS2.2,"M - Here are three pictures. (Point to answer choices.) Which is made of water: river, forest, or desert?",Which is made of water?,river,forest,desert,a,NA,River6.ai,Forest3.ai,Desert9.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M14,NA,5,S05ESS2.2,"M - Here are three Earth features, (Point to answer choices.) Which is made of water: forest, desert, or lake?",Which is made of water?,forest,desert,lake,c,NA,Forest3.ai,Desert9.ai,Lake7.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.77,NA,NA,NA
S05ESS2.2M19,NA,5,S05ESS2.2,"M -  Here are three things. (Point to answer choices.) Which is made of water: river, tree, or mountain?",Which is made of water?,river,tree,mountain,a,NA,River12.ai,Tree6.ai,Mountain20.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M20,NA,5,S05ESS2.2,"M - Here are three things. (Point to answer choices.) Which is made of water: volcano, pond, or tree?",Which is made of water?,volcano,pond,tree,b,NA,Volcano1.ai,Lake15.ai,Tree6.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M21,NA,5,S05ESS2.2,"M - This is a glass of water. (Point to glass of water in prompt.) Which is also made of water: desert, forest, or cloud?",Which is also made of water?,desert,forest,cloud,c,NA,Desert1.ai,Forest2.ai,Cloud2.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M28,NA,5,S05ESS2.2,"M - Here are three Earth features. (Point to answer choices.) Which is made of water: waterfall, mountain, or desert?",Which is made of water?,waterfall,mountain,desert,a,NA,Waterfall2.ai,Mountain20.ai,Desert1.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M29,NA,5,S05ESS2.2,"M - Here are three Earth features. (Point to answer choices.) Which is made of water: volcano, forest, or pond?",Which is made of water?,volcano,forest,pond,c,NA,Volcano1.ai,Forest2.ai,Lake15.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M3,NA,5,S05ESS2.2,"M - Here are three pictures. (Point to answer choices.) Which is made of water: ocean, forest, or mountain?",Which is made of water?,ocean,forest,mountain,a,NA,Beach1.ai,Forest3.ai,Mountain3.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.74,NA,NA,NA
S05ESS2.2M30,NA,5,S05ESS2.2,"M - Here are three objects. (Point to answer choices.) Which is made of water: mountain, desert, or ocean?",Which is made of water?,mountain,desert,ocean,c,NA,Mountain3.ai,Desert9.ai,Beach1.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M4,NA,5,S05ESS2.2,"M - Here are three pictures. (Point to answer choices.) Which is made of water: tree,  stream, or volcano?",Which is made of water?,tree,stream,volcano,b,NA,Tree28.ai,Stream.ai,Volcano5.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS2.2M5,NA,5,S05ESS2.2,"M - Here are three Earth features. (Point to answer choices.) Which is made of water: pond, volcano, or forest?",Which is made of water?,pond,volcano,desert,a,NA,Pond.ai,Volcano1.ai,Desert9.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.52,NA,NA,NA
S05ESS3.1H14,ESS - OI,5,S05ESS3.1,"H - Here are three pictures. (Point to answer choices.) Which protects the environment: cutting down trees, recycling bottles, or burning trash?",Which protects the environment?,cutting  trees,recycling bottles,burning trash,b,NA,Tree_Stumps_Boy.ai,Recycling4.ai,Burning_Trash.ai,Plants_Outdoors/People,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS3.1H14_intro.mp3,Science_G5_S05ESS3.1H14_stem.mp3,Science_G5_S05ESS3.1H14_a.mp3,Science_G5_S05ESS3.1H14_b.mp3,Science_G5_S05ESS3.1H14_c.mp3,FT,OI,OI,OI,NA,1.65,1.65,1.65,1.65
S05ESS3.1H15,NA,5,S05ESS3.1,"H - Here are three pictures. (Point to answer choices.) Which is helping the environment: reusing bottles, cutting down trees, or making air pollution?",Which is helping the environment?,reusing bottles,cutting trees,air pollution,a,NA,Washing_Bottle.ai,Tree_Stumps_Boy.ai,Pollution.ai,People/Plants_Outdoors/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS3.1H16,NA,5,S05ESS3.1,"H - Here are three pictures. (Point to answer choices.) Which is helping the environment: making air pollution, recycling smartphones, or burning trash?",Which is helping the environment?,air pollution,recycling smartphones,burning trash,b,NA,Pollution.ai,Recycling5.ai,Burning_Trash.ai,Misc./People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
