item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M08EXE2.6_H12,8,M08EXE2.6,"(H) Here are two similar triangles, triangle DEF and triangle WXY. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line DE: WY, WX or YX?",Which line has the same slope as line DE?,NA,NA,NA,b,NA,Triangle19.ai,Line_WY.ai,Line_WX.ai,Line_YX.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE2.6_L01,8,M08EXE2.6,"(L) Here are two similar triangles, triangle ABC and triangle DEF. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line AC: DE DF, or EF?",Which line has the same slope as line AC?,NA,NA,NA,b,NA,Triangle20.ai,Line_DE.ai,Line_DF.ai,Line_EF.ai,Shapes/Misc.,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G8_M08EXE2.6_L01_intro.mp3,Math_G8_M08EXE2.6_L01_stem.mp3,Math_G8_M08EXE2.6_L01_a.mp3,Math_G8_M08EXE2.6_L01_b.mp3,Math_G8_M08EXE2.6_L01_c.mp3,FT,OI,OI,OI,NA,0.63,0.63,0.63,0.63
M08EXE2.6_L02,8,M08EXE2.6,"(L) Here are two similar triangles, triangle DEF and triangle GHI. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line DF: GH HI, or GI?",Which line has the same slope as line DF?,NA,NA,NA,c,NA,Triangle21.ai,Line_GH.ai,Line_HI.ai,Line_GI.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.66,NA,NA,NA
M08EXE2.6_L03,8,M08EXE2.6,"(L) Here are two similar triangles, triangle ABC and triangle JKL. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line JL: BC, AC, or AB?",Which line has the same slope as line JL?,NA,NA,NA,b,NA,Triangle22.ai,Line_BC.ai,Line_AC.ai,Line_AB.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE2.6_L04,8,M08EXE2.6,"(L) Here are two similar triangles, triangle JKL and triangle DEF. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line JL: DF, DE, or EF?",Which line has the same slope as line JL?,NA,NA,NA,a,NA,Triangle23.ai,Line_DF.ai,Line_DE.ai,Line_EF.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE2.6_M05,8,M08EXE2.6,"(M) Here are two similar triangles, triangle ABC and triangle LMN. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line AC: LM, LN, or MN?",Which line has the same slope as line AC?,NA,NA,NA,b,NA,Triangle24.ai,Line_LM.ai,Line_LN.ai,Line_MN.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.52,NA,NA,NA
M08EXE2.6_M06,8,M08EXE2.6,"(M) Here are two similar triangles, triangle DEF and triangle GHI. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line DF: GI HI, or GH?",Which line has the same slope as line DF?,NA,NA,NA,b,NA,Triangle25.ai,Line_DF.ai,Line_GI.ai,Line_HI.ai,Shapes/Misc.,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G8_M08EXE2.6_M06_intro.mp3,Math_G8_M08EXE2.6_M06_stem.mp3,Math_G8_M08EXE2.6_M06_a.mp3,Math_G8_M08EXE2.6_M06_b.mp3,Math_G8_M08EXE2.6_M06_c.mp3,FT,OI,OI,OI,NA,1.78,1.78,1.78,1.78
M08EXE2.6_M07,8,M08EXE2.6,"(M) Here are two similar triangles, triangle ABC and triangle GHI. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line IG: CA, AB or BC?",Which line has the same slope as line IG?,NA,NA,NA,a,NA,Triangle26.ai,Line_CA.ai,Line_AB.ai,Line_BC.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M08EXE2.6_M08,8,M08EXE2.6,"(M) Here are two similar triangles, triangle JKL and triangle DEF. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line JL: DE, EF, or DF?",Which line has the same slope as line JL?,NA,NA,NA,c,NA,Triangle27.ai,Line_DE.ai,Line_EF.ai,Line_DF.ai,Shapes/Misc.,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G8_M08EXE2.6_M08_intro.mp3,Math_G8_M08EXE2.6_M08_stem.mp3,Math_G8_M08EXE2.6_M08_a.mp3,Math_G8_M08EXE2.6_M08_b.mp3,Math_G8_M08EXE2.6_M08_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.2055
M08EXE2.6_SAMPLE,8,M08EXE2.6,"(M) Here are two similar triangles, triangle ABC and triangle PQR. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line AB: QR, PQ, or RP?",Which line has the same slope as line AB?,NA,NA,NA,b,NA,Triangle28.ai,Line_QR.ai,Line_PQ.ai,Line_RP.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.55,NA
M08EXE3.7AH09,8,M08EXE3.7a,"(H) Here is an equation with the variable x. (Point to student materials.) This says 4x +2 = 10. Four times what number, plus two, equals ten: 1, 2, or 3?","4x + 2 = 10

Four times what number, plus two, equals ten?",1,2,3,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.64,NA
M08EXE3.7AH10,8,M08EXE3.7a,"(H) Here is an equation with the variable x. (Point to student materials.) This says 5x +3 = 18. Five times what number, plus three, equals 18: 1, 2, or 3?","5x + 3 = 18

Five times what number, plus three, equals 18?",1,2,3,c,NA,NA,NA,NA,NA,NA,prompt (SM),number only,number only,number only,Math_G8_M08EXE3.7AH10_intro.mp3,Math_G8_M08EXE3.7AH10_stem.mp3,Math_G8_M08EXE3.7AH10_a.mp3,Math_G8_M08EXE3.7AH10_b.mp3,Math_G8_M08EXE3.7AH10_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.4381
M08EXE3.7AH11,8,M08EXE3.7a,"(H) Here is an equation with the variable x. (Point to student materials.) This says 6x + 4 = 10. Six times what number, plus four, equals ten: 1, 2, or 3?","6x + 4 = 10

Six times what number, plus four, equals ten?",1,2,3,a,NA,NA,NA,NA,NA,NA,prompt (SM),number only,number only,number only,Math_G8_M08EXE3.7AH11_intro.mp3,Math_G8_M08EXE3.7AH11_stem.mp3,Math_G8_M08EXE3.7AH11_a.mp3,Math_G8_M08EXE3.7AH11_b.mp3,Math_G8_M08EXE3.7AH11_c.mp3,NA,FT,OI,OI,NA,NA,2.36,2.36,2.36
M08EXE3.7AH12,8,M08EXE3.7a,"(H) Here is an equation with the variable x. (Point to student materials.) This says 7x + 5 = 19. Seven times what number, plus five, equals 19: 1, 2, or 3?","7x + 5 = 19

Seven times what number, plus five, equals 19?",1,2,3,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.92,NA
M08EXE3.7AL01,8,M08EXE3.7a,"(L) Here is an equation with the variable x. (Point to student materials.) This says x + 1 = 4.  What number plus 1 equals 4: 1, 2, or 3?","x + 2 = 4

What number plus 2 equals 4?",1,2,3,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE3.7AL02,8,M08EXE3.7a,"(L) Here is an equation with the variable x. (Point to student materials.) This says x + 4 = 6. What number plus 4 equals 6: 1, 2, or 3?","x + 4 = 6

What number plus 4 equals 6?",2,1,3,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE3.7AL03,8,M08EXE3.7a,"(L) Here is an equation with the variable x. (Point to student materials.) This says x + 3 = 4. What number plus 3 equals 4: 1, 2, or 3?","x + 3 = 4

What number plus 3 equals 4?",1,2,3,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE3.7AL04,8,M08EXE3.7a,"(L) Here is an equation with the variable x. (Point to student materials.) This says x - 1 = 9. What number minus 1 is 9: 8, 9, or 10?","x - 1 = 9

What number minus 1 is 9?",8,9,10,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE3.7AM05,8,M08EXE3.7a,"(L) Here is an equation with the variable x. (Point to student materials.) This says 5x = 10. Five times what number equals 10: 1, 2, or 3?","5x = 10

Five times what number equals 10?",2,3,1,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE3.7AM06,8,M08EXE3.7a,"(M) Here is an equation with the variable x. (Point to student materials.) This says 6x = 6. Six times what number equals 6: 1, 2, or 3?","6x = 6

Six times what number equals 6?",1,2,3,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.66,NA,NA
M08EXE3.7AM07,8,M08EXE3.7a,"(M) Here is an equation with the variable x. (Point to student materials.) This says 7x = 14. Seven times what number equals 14: 1, 2, or 3?","7x = 14

Seven times what number equals 14?",1,2,3,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE3.7AM08,8,M08EXE3.7a,"(M) Here is an equation with the variable x. (Point to student materials.) This says 5x = 15. Five times what number equals 15: 1, 2, or 3?","5x = 15

Five times what number equals 15?",1,2,3,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M08EXE3.7ASAMPLE,8,M08EXE3.7a,"(H) Here is an equation with the variable x. (Point to student materials.) This says 4x +2 = 10. Four times what number, plus two, equals ten: 1, 2, or 3?","4x + 2 = ___?

Four times what number, plus two, equals ten?",1,2,3,b,NA,NA,NA,NA,NA,NA,prompt (SM),number only,number only,number only,Math_G8_M08EXE3.7ASAMPLE_intro.mp3,Math_G8_M08EXE3.7ASAMPLE_stem.mp3,Math_G8_M08EXE3.7ASAMPLE_a.mp3,Math_G8_M08EXE3.7ASAMPLE_b.mp3,Math_G8_M08EXE3.7ASAMPLE_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.4078
M08FUN1.1_H09,8,M08FUN1.1,"(H) Look at the table (Point to student materials.) What is y when x = 11: 22, 24, 26, 28, or 30?",What is y when x = 11?,22,24,26,a,NA,Table_XY19.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.11,NA,NA,NA
M08FUN1.1_H10,8,M08FUN1.1,"(H) Look at the table. (Point to student materials.) What is y when x = 12: 22, 24, or 26?",What is y when x = 12?,22,24,26,b,NA,Table_XY20.ai,NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,number only,number only,number only,Math_G8_M08FUN1.1_H10_intro.mp3,Math_G8_M08FUN1.1_H10_stem.mp3,Math_G8_M08FUN1.1_H10_a.mp3,Math_G8_M08FUN1.1_H10_b.mp3,Math_G8_M08FUN1.1_H10_c.mp3,FT,OI,OI,OI,NA,0.1,0.1,0.1,0.1
M08FUN1.1_H11,8,M08FUN1.1,"(H) Look at the table (Point to student materials.) What is y when x = 13: 22, 26, or 30?",What is y when x = 13?,22,26,30,b,NA,Table_XY21.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.35,NA,NA,NA
M08FUN1.1_H12,8,M08FUN1.1,"(H) Look at the table. (Point to student materials.) What is y when x = 15: 22, 26, or 30?",What is y when x = 15?,22,26,30,c,NA,Table_XY22.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.08,NA,NA,NA
M08FUN1.1_L01,8,M08FUN1.1,"(L) Here is a table showing what happens to y when x equals 1, 2, 3, 4, and 5. (Point to student materials.) What is y when x = 5: 6 , 8, or 10?",What is y when when x = 5?,6,8,10,c,NA,Table_XY23.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.18,NA,NA,NA
M08FUN1.1_L02,8,M08FUN1.1,"(L) Here is a table showing what happens to y when x equals 1, 2, 3, 4, and 5. (Point to student materials.) What is y when x = 2: 4, 6, or 8?",What is y when when x = 2?,4,6,8,a,NA,Table_XY24.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.01,NA,NA,NA
M08FUN1.1_L03,8,M08FUN1.1,"(L) Here is a table showing what happens to y when x equals 1, 2, 3, 4, and 5. (Point to student materials.) What is y when x = 4: 2, 6, 8?",What is y when x = 4?,2,6,8,c,NA,Table_XY25.ai,NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,number only,number only,number only,Math_G8_M08FUN1.1_L03_intro.mp3,Math_G8_M08FUN1.1_L03_stem.mp3,Math_G8_M08FUN1.1_L03_a.mp3,Math_G8_M08FUN1.1_L03_b.mp3,Math_G8_M08FUN1.1_L03_c.mp3,FT,OI,OI,OI,NA,-0.46,-0.46,-0.46,-0.46
M08FUN1.1_L04,8,M08FUN1.1,"(L) Here is a table showing what happens to y when x equals 1, 2, 3, 4, and 5. (Point to student materials.) What is y when x = 3: 4, 6, or 8?",What is y when x = 3?,4,6,8,b,NA,Table_XY26.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.32,NA,NA,NA
M08FUN1.1_M05,8,M08FUN1.1,"(M) Here is a table showing what happens to y when x equals 6, 7, 8, 9, and 10. (Point to student materials.) What is y when x = 6: 12, 14, or 16?",What is y when x = 6?,12,14,16,a,NA,Table_XY27.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.22,NA,NA,NA
M08FUN1.1_M06,8,M08FUN1.1,"(M) Here is a table showing what happens to y when x equals 6, 7, 8, 9, and 10. (Point to student materials.) What is y when x = 7: 14, 16, or 20?",What is y when x = 7?,14,16,20,a,NA,Table_XY28.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.16,NA,NA,NA
M08FUN1.1_M07,8,M08FUN1.1,"(M) Here is a table showing what happens to y when x equals 6, 7, 8, 9, and 10. (Point to student materials.) What is y when x = 8: 12, 16, or 20?",What is y when x = 8?,12,16,20,b,NA,Table_XY29.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.07,NA,NA,NA
M08FUN1.1_M08,8,M08FUN1.1,"(M) Here is a table showing what happens to y when x equals 6, 7, 8, 9, and 10. (Point to student materials.) What is y when x = 9: 14, 16, or 18?",What is y when x = 9?,20,14,18,c,NA,Table_XY30.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.14,NA,NA,NA
M08FUN1.1_SAMPLE,8,M08FUN1.1,"(L) Here is an output table showing what happens to y when x equals 1, 2, 3, 4, and 5. (Point to student materials.) What is the value for y when x = 3: 4, 6, or 8?",What is y when x = 3?,4,6,8,b,NA,Table_XY31.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.39,NA,NA
M08FUN1.2_H09,8,M08FUN1.2,"(H) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,b,NA,Graph_Vector40.ai,Table_XY32.ai,Table_XY33.ai,Table_XY34.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2.22,NA,NA,NA
M08FUN1.2_H10,8,M08FUN1.2,"(H) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,a,NA,Graph_Vector41.ai,Table_XY35.ai,Table_XY36.ai,Table_XY37.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.7,NA,NA,NA
M08FUN1.2_H11,8,M08FUN1.2,"(H) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,c,NA,Graph_Vector42.ai,Table_XY38.ai,Table_XY39.ai,Table_XY40.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.94,NA
M08FUN1.2_H12,8,M08FUN1.2,"(H) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,b,NA,Graph_Vector43.ai,Table_XY38.ai,Table_XY41.ai,Table_XY42.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN1.2_L01,8,M08FUN1.2,"(L) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,a,NA,Graph_Vector44.ai,Table_XY43.ai,Table_XY44.ai,Table_XY45.ai,Graphs_Number Lines_Tables,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G8_M08FUN1.2_L01_intro.mp3,Math_G8_M08FUN1.2_L01_stem.mp3,Math_G8_M08FUN1.2_L01_a.mp3,Math_G8_M08FUN1.2_L01_b.mp3,Math_G8_M08FUN1.2_L01_c.mp3,FT,OI,OI,OI,NA,1.91,1.91,1.91,1.91
M08FUN1.2_L02,8,M08FUN1.2,"(L) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,b,NA,Graph_Vector45.ai,Table_XY46.ai,Table_XY47.ai,Table_XY48.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.44,NA,NA,NA
M08FUN1.2_L03,8,M08FUN1.2,"(L) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,c,NA,Graph_Vector46.ai,Table_XY49.ai,Table_XY50.ai,Table_XY51.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN1.2_L04,8,M08FUN1.2,"(L) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,b,NA,Graph_Vector47.ai,Table_XY52.ai,Table_XY53.ai,Table_XY54.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN1.2_M05,8,M08FUN1.2,"(M) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,a,NA,Graph_Vector48.ai,Table_XY55.ai,Table_XY56.ai,Table_XY57.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.56,1.56,NA,NA
M08FUN1.2_M06,8,M08FUN1.2,"(M) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,b,NA,Graph_Vector49.ai,Table_XY58.ai,Table_XY59.ai,Table_XY60.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.95,NA,NA,NA
M08FUN1.2_M07,8,M08FUN1.2,"(M) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,b,NA,Graph_Vector50.ai,Table_XY61.ai,Table_XY62.ai,Table_XY63.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN1.2_M08,8,M08FUN1.2,"(M) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,c,NA,Graph_Vector51.ai,Table_XY64.ai,Table_XY65.ai,Table_XY66.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN1.2_SAMPLE,8,M08FUN1.2,"(M) Here is a line graph and three output tables: A, B, and C. (Point to student materials). Which output table matches this line graph: A, B, or C?",Which output table matches this line graph?,A,B,C,a,NA,Graph_Vector52.ai,Table_XY67.ai,Table_XY68.ai,Table_XY69.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN2.4_H09,8,M08FUN2.4,"(H) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,a,NA,Table_XY70.ai,Graph_Vector53.ai,Graph_Vector54.ai,Graph_Vector55.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.59,NA
M08FUN2.4_H10,8,M08FUN2.4,"(H) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,b,NA,Table_XY71.ai,Graph_Vector56.ai,Graph_Vector47.ai,Graph_Vector58.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M08FUN2.4_H11,8,M08FUN2.4,"(H) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,a,NA,Table_XY72.ai,Graph_Vector59.ai,Graph_Vector60.ai,Graph_Vector61.ai,Graphs_Number Lines_Tables,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G8_M08FUN2.4_H11_intro.mp3,Math_G8_M08FUN2.4_H11_stem.mp3,Math_G8_M08FUN2.4_H11_a.mp3,Math_G8_M08FUN2.4_H11_b.mp3,Math_G8_M08FUN2.4_H11_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.7884
M08FUN2.4_H12,8,M08FUN2.4,"(H) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,b,NA,Table_XY73.ai,Graph_Vector62.ai,Graph_Vector63.ai,Graph_Vector64.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M08FUN2.4_L01,8,M08FUN2.4,"(L) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,a,NA,Table_XY74.ai,Graph_Vector65.ai,Graph_Vector66.ai,Graph_Vector67.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN2.4_L02,8,M08FUN2.4,"(L) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,a,NA,Table_XY75.ai,Graph_Vector68.ai,Graph_Vector69.ai,Graph_Vector70.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN2.4_L03,8,M08FUN2.4,"(L) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,c,NA,Table_XY76.ai,Graph_Vector71.ai,Graph_Vector72.ai,Graph_Vector73.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN2.4_L04,8,M08FUN2.4,"(L) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,b,NA,Table_XY77.ai,Graph_Vector74.ai,Graph_Vector75.ai,Graph_Vector76.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN2.4_M05,8,M08FUN2.4,"(M) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,a,NA,Table_XY78.ai,Graph_Vector77.ai,Graph_Vector78.ai,Graph_Vector79.ai,Graphs_Number Lines_Tables,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G8_M08FUN2.4_M05_intro.mp3,Math_G8_M08FUN2.4_M05_stem.mp3,Math_G8_M08FUN2.4_M05_a.mp3,Math_G8_M08FUN2.4_M05_b.mp3,Math_G8_M08FUN2.4_M05_c.mp3,NA,FT,OI,OI,NA,NA,2,2,2
M08FUN2.4_M06,8,M08FUN2.4,"(M) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,b,NA,Table_XY79.ai,Graph_Vector80.ai,Graph_Vector81.ai,Graph_Vector82.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08FUN2.4_M07,8,M08FUN2.4,"(M) Here are three line graphs, A, B, and C, and one output table. (Point to student materials.) Which line graph matches the output table: A, B, or C?",Which line graph matches the output table?,A,B,C,c,NA,Table_XY80.ai,Graph_Vector83.ai,Graph_Vector84.ai,Graph_Vector85.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
